Date,TESLA,SP500,DBS,ST
16/05/2001,,0.028055485,-0.019703197,-0.018516522
17/05/2001,,0.002720054,0.019703197,0.014955059
18/05/2001,,0.002689455,-0.019703197,-0.009214981
21/05/2001,,0.016024667,0.013127955,0.001792731
22/05/2001,,-0.00263137,-0.006542435,0.006722908
23/05/2001,,-0.01564823,-0.013214698,0.001072929
24/05/2001,,0.003191055,0.013214698,0.003193882
25/05/2001,,-0.011886288,0,-0.006343605
28/05/2001,,0,-0.013214698,-0.006195574
29/05/2001,,-0.007824631,0,0.00445354
30/05/2001,,-0.015779279,-0.013470052,-0.010290079
31/05/2001,,0.006182375,-0.020431499,-0.004450555
01/06/2001,,0.00385458,0,-0.003588325
04/06/2001,,0.005095391,0.006856987,0.010037017
05/06/2001,,0.012906541,-0.006856987,0.007480376
06/06/2001,,-0.010604736,-0.006904331,0.001283666
07/06/2001,,0.005441731,0.006904331,0.002514113
08/06/2001,,-0.009441752,0.033901552,0.015892455
11/06/2001,,-0.008391102,0.006629177,-0.013185979
12/06/2001,,0.001163236,-0.006629177,-0.004537043
13/06/2001,,-0.011411764,-0.020234275,0.008250276
14/06/2001,,-0.017656575,-0.027605065,-0.004562362
15/06/2001,,-0.004527107,-0.007001575,0.008112466
18/06/2001,,-0.004895193,-0.007050943,0.00159434
19/06/2001,,0.003428325,-0.01425281,-0.006086468
20/06/2001,,0.008671002,-0.029215847,-0.010233231
21/06/2001,,0.011300106,0.007363047,-0.001650967
22/06/2001,,-0.009494912,0.007309229,0.016471939
25/06/2001,,-0.005523859,-0.075796506,-0.012863983
26/06/2001,,-0.001511071,0.03861622,0.001493941
27/06/2001,,-0.004687322,-0.015232317,-0.006944241
28/06/2001,,0.01241569,0.030322664,0.004741863
29/06/2001,,-0.001452694,0,0.01177816
02/07/2001,,0.009987365,0.014780711,-0.013955047
03/07/2001,,-0.001829101,0,-0.000917044
04/07/2001,,0,-0.007363047,-0.00490312
05/07/2001,,-0.012397813,0.007363047,-0.003768257
06/07/2001,,-0.023778731,-0.022341034,-0.015695923
09/07/2001,,0.00685539,-0.01511718,-0.002094059
10/07/2001,,-0.014502628,0.030095167,0.015918936
11/07/2001,,-0.001134776,-0.007417664,-0.009984717
12/07/2001,,0.023415018,0.007417664,0.005245459
13/07/2001,,0.006221604,-0.030095167,-0.012996833
16/07/2001,,-0.010942449,-0.015349222,-0.000831622
17/07/2001,,0.009921923,-0.015679843,-0.011905801
18/07/2001,,-0.005557061,-0.01583681,-0.007982654
19/07/2001,,0.006034533,0,-0.002645251
20/07/2001,,-0.003437945,0.023662146,0.008181412
23/07/2001,,-0.016504113,0.007854507,-0.006461842
24/07/2001,,-0.016405467,-0.031516653,-0.001642797
25/07/2001,,0.015951975,0.01583681,0.000159924
26/07/2001,,0.01039526,-0.023850271,0.003824145
27/07/2001,,0.002399586,0.015963216,0.000636999
30/07/2001,,-0.001078686,0.007887055,0.013177272
31/07/2001,,0.005555225,0.061124231,0.009874477
01/08/2001,,0.003872844,0,0.012098418
02/08/2001,,0.003956208,-0.022508011,-0.010842191
03/08/2001,,-0.00525647,-0.007587156,-0.011300403
06/08/2001,,-0.011487477,0.022677503,0.007701642
07/08/2001,,0.003260041,0,-0.000330639
08/08/2001,,-0.017480019,0.007417664,-0.008565994
09/08/2001,,-8.44966E-05,0,0
10/08/2001,,0.00567075,0,0.000509618
13/08/2001,,0.000949002,0.007363047,-0.008464295
14/08/2001,,-0.003835128,0,0.013076777
15/08/2001,,-0.007366563,0.007309229,-0.00065136
16/08/2001,,0.003085167,0,-0.004514794
17/08/2001,,-0.016803389,0.007256191,0.001107037
20/08/2001,,0.008091311,-0.01456542,-0.007692758
21/08/2001,,-0.012153009,-0.007363047,0.003762267
22/08/2001,,0.006932004,0,-0.000385061
23/08/2001,,-0.002767038,0.014672275,0.003044872
24/08/2001,,0.019463593,-0.022089939,-0.009226097
27/08/2001,,-0.004838978,0,0.012556626
28/08/2001,,-0.01512384,0.007417664,-0.001073355
29/08/2001,,-0.011177073,0.021928467,-0.002792349
30/08/2001,,-0.017184952,0,-0.0094917
31/08/2001,,0.004021909,-0.007256191,0.006508364
03/09/2001,,0,-0.007309229,-0.002067691
04/09/2001,,-0.000564742,-0.014780711,0.001536949
05/09/2001,,-0.001059752,0.014780711,0.000694962
06/09/2001,,-0.02264477,-0.022341034,-0.01237918
07/09/2001,,-0.018812879,-0.007530024,-0.021601429
10/09/2001,,0.006206638,-0.007587156,-0.012234197
11/09/2001,,0,0.030095167,0.011364805
12/09/2001,,0,-0.061124231,-0.057904979
13/09/2001,,0,-0.032022784,-0.008433995
14/09/2001,,0,-0.024636021,-0.029213856
17/09/2001,,-0.05046794,-0.060165524,-0.049190305
18/09/2001,,-0.005821857,-0.054540753,-0.00800578
19/09/2001,,-0.016243695,0,0.012319707
20/09/2001,,-0.031552521,-0.028372257,-0.024160695
21/09/2001,,-0.019217754,-0.090536317,-0.056880906
24/09/2001,,0.038242568,0.041266394,0.044359505
25/09/2001,,0.008751271,0.005026017,-0.004005074
26/09/2001,,-0.005179999,-0.046292412,-0.004288784
27/09/2001,,0.011423618,0.020786247,0.022971628
28/09/2001,,0.021685198,-0.005156196,0.010636526
01/10/2001,,-0.002298642,0.015389507,0.010682738
02/10/2001,,0.01223052,0.040030868,0.010174811
03/10/2001,,0.019731193,0.038489887,-0.010928169
04/10/2001,,-0.002474428,0.081514923,0.03289946
05/10/2001,,0.001634743,-0.008713328,0.005896805
08/10/2001,,-0.008379387,-0.054152025,-0.024444887
09/10/2001,,-0.005369989,0.01841359,0.023269756
10/10/2001,,0.022679127,-0.009111198,-0.013158133
11/10/2001,,0.015093795,0.02708827,0.020786321
12/10/2001,,-0.005280769,0,0.012725623
15/10/2001,,-0.001530966,0.00886878,0.0040456
16/10/2001,,0.006911964,0.034808054,0.005389935
17/10/2001,,-0.018808352,-0.008564083,0.009570659
18/10/2001,,-0.007904222,-0.053089824,-0.025584977
19/10/2001,,0.004546969,-0.009111198,-0.011093108
22/10/2001,,0.015180241,-0.009302393,0.000607868
23/10/2001,,-0.004708747,0.009302393,0.014985184
24/10/2001,,0.0003871,0.009111198,0.007667388
25/10/2001,,0.013627693,-0.009111198,-0.008294736
26/10/2001,,0.004100337,-0.018583703,0.003097267
29/10/2001,,-0.024106605,0,-0.013296793
30/10/2001,,-0.017314952,0.00928131,-0.008399368
31/10/2001,,-9.43588E-06,-0.037653567,-0.010656309
01/11/2001,,0.02268881,-0.009751801,-0.018273537
02/11/2001,,0.002855434,-0.019563863,-0.005241051
05/11/2001,,0.014283087,0,-0.000579024
06/11/2001,,0.014421639,0,-0.001121401
07/11/2001,,-0.002738673,0.009829774,-0.005648666
08/11/2001,,0.002452627,-0.009829774,0.007724901
09/11/2001,,0.001581169,0.019563863,0.024085564
12/11/2001,,-0.001768932,-0.029491222,0.00190553
13/11/2001,,0.018393197,-0.0100269,-0.001040263
14/11/2001,,0.001859405,0,0
15/11/2001,,0.000902144,0.049269922,0.047786901
16/11/2001,,-0.003147897,-0.009751801,-0.007089518
19/11/2001,,0.010839907,0.019298942,0.023803115
20/11/2001,,-0.007324379,0,-0.00592725
21/11/2001,,-0.004939278,0.018825115,0.011354932
22/11/2001,,0,-0.00936826,-0.010995541
23/11/2001,,0.011637951,0.027951963,0.005169217
26/11/2001,,0.006135839,0.044849633,0.011924631
27/11/2001,,-0.006866325,0.025915472,0.019015127
28/11/2001,,-0.018420025,-0.034808054,-0.014994959
